prefecture,municipality,districtName,tradePrice,floorPlan,area,buildingYear,structure,cityPlanning,period,renovation
東京都,中央区,勝どき,67000000,２ＬＤＫ,55,平成28年,ＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,68000000,２ＬＤＫ,55,平成28年,ＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,74000000,３ＬＤＫ,75,平成20年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,勝どき,74000000,２ＬＤＫ,80,平成20年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,勝どき,82000000,２ＬＤＫ,80,平成20年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,勝どき,57000000,２ＬＤＫ,60,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,勝どき,24000000,１ＬＤＫ,40,昭和48年,ＳＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,銀座,28000000,１Ｋ,20,平成15年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,銀座,72000000,１ＬＤＫ,35,平成27年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,銀座,43000000,１Ｋ,30,平成15年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,銀座,38000000,１Ｋ,30,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,新川,30000000,１ＬＤＫ,35,平成10年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,新川,37000000,１Ｋ,35,平成23年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,新川,39000000,１ＤＫ,40,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,新川,27000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,新川,21000000,１ＤＫ,30,昭和57年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,新川,90000000,２ＬＤＫ,70,平成31年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,25000000,１ＤＫ,20,平成12年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,50000000,２ＤＫ,40,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,85000000,２ＬＤＫ,60,平成30年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,80000000,３ＬＤＫ,65,平成24年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,44000000,１ＬＤＫ,35,平成22年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,39000000,１Ｋ,40,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,築地,54000000,２ＬＤＫ,55,昭和63年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,築地,67000000,２ＬＤＫ,55,平成27年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,月島,62000000,１ＬＤＫ,60,平成15年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,月島,44000000,１ＬＤＫ,55,平成8年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,月島,57000000,２ＬＤＫ,60,平成10年,ＳＲＣ,第２種住居地域,2020年第１四半期,改装済
東京都,中央区,月島,29000000,１Ｋ,20,平成15年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,月島,24000000,１Ｋ,20,平成23年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,月島,62000000,３ＬＤＫ,70,昭和59年,ＳＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,月島,24000000,１Ｋ,25,平成26年,ＲＣ,,2020年第１四半期,未改装
東京都,中央区,月島,42000000,１ＬＤＫ,40,平成16年,ＲＣ,第２種住居地域,2020年第１四半期,改装済
東京都,中央区,月島,96000000,３ＬＤＫ,85,平成25年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,佃,64000000,１ＬＤＫ,75,平成3年,ＳＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,佃,53000000,２ＬＤＫ,55,平成18年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,佃,64000000,２ＤＫ,55,平成5年,ＳＲＣ,第１種住居地域,2020年第１四半期,改装済
東京都,中央区,佃,55000000,１ＬＤＫ,55,平成3年,ＳＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,佃,95000000,２ＬＤＫ,85,平成16年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,佃,55000000,２ＬＤＫ,50,平成23年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,佃,57000000,１ＬＤＫ,50,平成11年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,佃,110000000,２ＬＤＫ,80,平成11年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,佃,96000000,３ＬＤＫ,90,平成5年,ＳＲＣ,第１種住居地域,2020年第１四半期,改装済
東京都,中央区,佃,51000000,１ＬＤＫ,40,平成25年,ＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,佃,35000000,１Ｋ,25,平成28年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,佃,74000000,２ＬＤＫ,60,平成16年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,日本橋大伝馬町,43000000,１ＬＤＫ,40,平成25年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋大伝馬町,20000000,１Ｋ,15,平成14年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋大伝馬町,35000000,１ＤＫ,30,平成19年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋大伝馬町,30000000,１Ｋ,25,平成25年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋蛎殻町,29000000,１Ｋ,25,平成24年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋蛎殻町,58000000,１ＤＫ,50,平成11年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋蛎殻町,56000000,２ＬＤＫ,60,平成11年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋蛎殻町,22000000,１Ｋ,20,平成14年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋蛎殻町,15000000,１Ｋ,25,昭和57年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋蛎殻町,35000000,２ＤＫ,40,昭和57年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋蛎殻町,25000000,１Ｋ,15,平成16年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋蛎殻町,58000000,２ＬＤＫ,50,平成24年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋蛎殻町,24000000,１ＤＫ,30,昭和57年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋蛎殻町,43000000,１ＬＤＫ,35,平成23年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋茅場町,42000000,,35,平成14年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋小伝馬町,82000000,２ＬＤＫ,65,平成29年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋小伝馬町,80000000,３ＬＤＫ,70,平成29年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋富沢町,49000000,１ＬＤＫ,40,平成21年,ＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋富沢町,32000000,１ＤＫ,35,平成11年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋富沢町,57000000,２ＬＤＫ,60,平成18年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋中洲,34000000,１ＬＤＫ,45,昭和54年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋中洲,24000000,１Ｋ,30,平成14年,ＳＲＣ,商業地域,2020年第１四半期,未改装
